id,seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,ghazard,nbumps,nbumps2,nbumps3,nbumps4,nbumps5,nbumps6,nbumps7,nbumps89,energy,maxenergy,class
28,a,a,N,6500,67,-87,-87,a,0,0,0,0,0,0,0,0,0,0,0
29,a,a,N,5310,49,-88,-89,a,0,0,0,0,0,0,0,0,0,0,0
30,a,a,N,5770,45,-86,-89,a,1,0,1,0,0,0,0,0,2000,2000,0
31,b,a,W,96070,537,3,19,a,3,1,1,1,0,0,0,0,49200,40000,0
32,b,a,W,40800,222,-56,-51,a,3,1,2,0,0,0,0,0,5800,3000,0
33,b,a,W,38070,220,-55,-48,a,2,1,1,0,0,0,0,0,7900,7000,0
34,b,a,W,32310,194,-56,-49,a,4,1,2,1,0,0,0,0,28400,20000,0
35,b,a,W,39760,211,-38,-39,a,3,3,0,0,0,0,0,0,1600,900,0
36,b,a,W,74940,360,31,15,a,2,2,0,0,0,0,0,0,500,400,0
37,a,a,W,63950,297,11,-6,a,0,0,0,0,0,0,0,0,0,0,0
38,a,a,W,54030,335,-3,13,a,6,3,3,0,0,0,0,0,13300,9000,0
39,a,a,W,44080,339,-22,11,a,2,1,1,0,0,0,0,0,3700,3000,0
40,a,a,W,33580,268,-39,-13,a,1,0,1,0,0,0,0,0,4000,4000,0
41,a,a,W,34980,296,-29,5,a,0,0,0,0,0,0,0,0,0,0,0
42,a,a,W,40850,340,-16,18,a,2,2,0,0,0,0,0,0,400,200,0
43,a,a,N,4050,34,-31,-37,a,1,1,0,0,0,0,0,0,600,600,0
44,a,a,N,6320,32,11,-38,a,1,0,1,0,0,0,0,0,4000,4000,0
45,a,a,W,26130,220,-46,-27,a,2,1,1,0,0,0,0,0,2200,2000,0
46,a,a,W,34820,270,-22,-6,a,1,1,0,0,0,0,0,0,300,300,0
47,a,a,N,4410,76,-23,53,a,0,0,0,0,0,0,0,0,0,0,0
48,a,a,N,3280,40,-41,-23,a,1,1,0,0,0,0,0,0,200,200,0
49,a,a,N,6070,46,14,-9,a,1,0,1,0,0,0,0,0,3000,3000,0
50,a,a,W,17660,140,-60,-52,a,1,1,0,0,0,0,0,0,900,900,0
51,a,a,W,21240,138,-50,-52,a,1,1,0,0,0,0,0,0,700,700,0
52,a,a,W,37710,233,2,-12,a,1,0,1,0,0,0,0,0,2000,2000,0
53,b,a,W,43940,327,41,36,a,2,0,1,1,0,0,0,0,41000,40000,0
54,b,a,W,31770,231,2,-3,a,3,1,2,0,0,0,0,0,10400,8000,0
55,b,a,W,16450,141,-47,-40,a,3,2,1,0,0,0,0,0,3800,3000,0
56,b,a,W,39660,325,42,54,a,5,2,2,1,0,0,0,0,34000,30000,0
57,b,a,W,19220,149,-34,-33,a,6,2,4,0,0,0,0,0,10700,5000,0
58,b,a,W,47010,375,57,63,a,4,2,1,0,1,0,0,0,204400,200000,0
59,b,a,W,8610,79,-74,-69,a,1,0,1,0,0,0,0,0,5000,5000,0
60,b,a,W,27810,265,-6,11,a,1,1,0,0,0,0,0,0,500,500,0
61,a,a,W,36600,341,20,37,a,3,0,3,0,0,0,0,0,13000,7000,0
62,a,a,N,5640,58,6,17,a,1,0,1,0,0,0,0,0,5000,5000,0
63,a,a,W,27870,238,-6,-5,a,0,0,0,0,0,0,0,0,0,0,0
64,a,a,W,34150,346,17,38,a,2,1,1,0,0,0,0,0,6300,6000,0
65,a,a,N,3040,63,-43,26,a,0,0,0,0,0,0,0,0,0,0,0
66,a,a,N,2410,39,-52,-24,a,0,0,0,0,0,0,0,0,0,0,0
67,a,a,N,3960,35,-14,-27,a,1,0,1,0,0,0,0,0,1000,1000,0
68,b,a,W,49520,405,60,49,a,4,0,3,1,0,0,0,0,72000,60000,0
69,b,b,W,51910,495,57,73,b,0,0,0,0,0,0,0,0,0,0,0
70,b,b,W,13600,215,-60,-29,b,2,1,1,0,0,0,0,0,3600,3000,0
71,a,b,W,40140,417,19,35,a,6,2,4,0,0,0,0,0,11300,4000,0
72,b,a,W,23200,264,-28,-18,a,3,2,0,1,0,0,0,0,40600,40000,0
73,b,a,W,26670,444,-17,39,a,0,0,0,0,0,0,0,0,0,0,0
74,b,a,W,26860,282,-46,-44,a,2,0,2,0,0,0,0,0,5000,3000,0
75,b,a,W,17570,211,-61,-53,a,4,3,0,1,0,0,0,0,70800,70000,0
76,b,a,W,11800,133,-47,-46,a,2,1,1,0,0,0,0,0,3300,3000,0
77,b,a,W,40250,451,91,91,a,4,3,1,0,0,0,0,0,2900,2000,0
78,a,a,W,45180,370,98,44,a,4,2,2,0,0,0,0,0,5800,3000,0
79,a,a,W,25650,157,2,-42,a,4,1,3,0,0,0,0,0,16900,8000,0
80,a,a,W,48530,485,90,87,a,2,1,1,0,0,0,0,0,1300,1000,0
81,a,a,W,45350,469,14,21,a,4,1,3,0,0,0,0,0,6400,3000,0
82,a,b,W,31710,352,-20,-9,a,2,2,0,0,0,0,0,0,1000,500,0
83,a,b,N,4520,50,-82,-80,a,0,0,0,0,0,0,0,0,0,0,0
84,a,b,N,7400,47,-68,-80,a,1,0,1,0,0,0,0,0,3000,3000,0
85,b,b,W,50890,602,42,69,a,2,1,0,1,0,0,0,0,70500,70000,0
86,b,a,W,40880,519,12,40,a,1,1,0,0,0,0,0,0,600,600,0
87,b,a,W,30430,308,-16,-19,a,2,1,1,0,0,0,0,0,4500,4000,0
88,b,a,W,65490,735,60,72,a,3,0,2,1,0,0,0,0,72000,60000,0
89,b,a,W,31440,361,-27,-22,a,3,2,1,0,0,0,0,0,4600,4000,0
90,b,a,W,51660,626,19,29,a,1,1,0,0,0,0,0,0,500,500,0
91,a,a,W,45080,468,3,-6,a,3,2,1,0,0,0,0,0,2000,1000,0
92,a,a,W,48100,582,10,17,a,4,2,2,0,0,0,0,0,12100,7000,0
93,a,a,W,90330,913,98,75,a,4,2,2,0,0,0,0,0,14100,7000,0
94,b,b,W,36430,500,-31,-16,a,2,0,1,1,0,0,0,0,94000,90000,0
95,b,b,W,65150,952,25,60,a,4,3,1,0,0,0,0,0,4100,2000,0
96,b,b,W,40030,577,-28,-13,a,0,0,0,0,0,0,0,0,0,0,0
97,a,b,W,45170,579,-14,-10,a,1,0,1,0,0,0,0,0,2000,2000,0
98,a,b,W,93510,1375,86,120,b,3,2,1,0,0,0,0,0,5700,5000,0
99,a,b,W,59240,941,5,29,a,3,1,2,0,0,0,0,0,5200,3000,0
100,a,b,N,11130,126,-47,-40,a,3,1,2,0,0,0,0,0,4900,3000,0
101,a,b,N,2960,49,-62,-34,a,0,0,0,0,0,0,0,0,0,0,0
102,a,b,N,10520,72,46,1,a,1,0,1,0,0,0,0,0,5000,5000,0
103,b,a,W,79790,1419,39,80,a,3,2,0,1,0,0,0,0,21200,20000,0
104,b,a,W,58160,897,-4,3,a,3,2,1,0,0,0,0,0,1900,1000,0
105,b,a,W,55890,1204,-3,34,a,5,0,2,3,0,0,0,0,149000,80000,0
106,b,b,N,8660,205,16,188,b,1,0,0,1,0,0,0,0,10000,10000,0
107,a,b,W,23290,592,-58,-37,b,1,1,0,0,0,0,0,0,500,500,0
108,a,b,W,21000,523,-61,-44,b,1,0,1,0,0,0,0,0,8000,8000,0
109,a,b,W,24570,434,-52,-53,a,2,1,1,0,0,0,0,0,3600,3000,0
110,a,b,W,56350,999,26,19,a,2,2,0,0,0,0,0,0,1000,800,0
111,a,a,W,31900,643,-28,-24,a,2,2,0,0,0,0,0,0,1100,700,0
112,a,a,W,23920,359,-45,-57,a,1,0,1,0,0,0,0,0,5000,5000,0
113,a,b,W,65240,1008,73,39,a,4,3,1,0,0,0,0,0,2500,1000,0
114,a,b,W,49070,587,28,-20,a,2,1,1,0,0,0,0,0,2400,2000,0
115,a,b,W,122820,1191,-39,-40,a,1,0,1,0,0,0,0,0,3000,3000,0
116,a,b,W,132520,1174,-31,-39,a,1,1,0,0,0,0,0,0,200,200,0
117,a,b,N,25710,258,-74,-74,a,1,0,1,0,0,0,0,0,7000,7000,0
118,a,a,N,17700,174,-81,-81,a,1,0,1,0,0,0,0,0,2000,2000,0
119,a,a,N,72300,155,-14,-82,a,1,0,1,0,0,0,0,0,5000,5000,0
120,a,a,N,16960,130,-56,-34,a,1,0,1,0,0,0,0,0,4000,4000,0
121,a,a,W,87700,935,-53,-49,a,2,1,1,0,0,0,0,0,1600,1000,0
122,a,a,W,118860,1122,4,2,a,0,0,0,0,0,0,0,0,0,0,0
123,a,a,W,102710,1159,-11,5,a,1,1,0,0,0,0,0,0,400,400,0
124,a,a,W,95050,860,-16,-22,a,2,0,2,0,0,0,0,0,5000,3000,0
125,a,a,W,182210,1766,63,63,a,6,1,5,0,0,0,0,0,17800,7000,0
126,a,a,W,95020,859,-20,-25,a,1,1,0,0,0,0,0,0,600,600,0
127,a,a,N,29290,235,-20,24,a,1,1,0,0,0,0,0,0,500,500,0
128,a,a,N,11440,121,-68,-37,a,0,0,0,0,0,0,0,0,0,0,0
129,a,a,N,26800,94,-18,-49,a,1,0,1,0,0,0,0,0,3000,3000,0
130,a,a,N,43650,334,38,90,a,0,0,0,0,0,0,0,0,0,0,0
131,a,a,W,154830,1252,33,11,a,2,2,0,0,0,0,0,0,1100,700,0
132,a,b,W,121720,1170,1,2,a,1,0,1,0,0,0,0,0,5000,5000,0
133,a,b,W,111950,997,-8,-13,a,4,3,1,0,0,0,0,0,4400,3000,0
134,a,b,W,190960,1651,58,45,a,2,0,2,0,0,0,0,0,11000,9000,0
135,a,b,W,95620,996,-26,-17,a,0,0,0,0,0,0,0,0,0,0,0
136,a,b,W,133430,1074,5,-9,a,6,2,4,0,0,0,0,0,16700,8000,0
137,a,b,W,253510,2069,98,76,a,4,2,2,0,0,0,0,0,7100,4000,0
138,a,b,W,121870,935,-15,-26,a,2,2,0,0,0,0,0,0,900,500,0
139,a,b,W,148160,1282,1,0,a,2,2,0,0,0,0,0,0,1300,900,0
140,a,b,W,156780,1301,10,6,a,4,3,1,0,0,0,0,0,4700,3000,0
141,a,b,N,23000,157,-28,-17,a,1,0,1,0,0,0,0,0,2000,2000,0
142,b,a,W,163510,1534,13,23,a,2,0,1,1,0,0,0,0,72000,70000,0
143,b,b,W,92760,967,-42,-31,b,5,3,1,1,0,0,0,0,65800,60000,0
144,b,b,W,105810,958,-27,-26,a,3,1,2,0,0,0,0,0,14900,8000,0
145,b,b,W,128260,1235,-10,-5,a,1,0,1,0,0,0,0,0,1000,1000,0
146,b,a,W,186280,1921,39,51,a,3,1,1,1,0,0,0,0,72500,70000,0
147,b,a,W,195950,1913,38,40,a,4,3,1,0,0,0,0,0,2700,1000,0
148,b,a,W,117120,1095,-22,-24,a,3,2,1,0,0,0,0,0,5700,4000,0
149,a,b,W,273200,2387,89,71,a,2,1,1,0,0,0,0,0,3400,3000,0
150,a,b,W,121400,1063,-23,-29,a,2,0,2,0,0,0,0,0,8000,6000,0
151,a,b,W,200350,1668,43,24,a,0,0,0,0,0,0,0,0,0,0,0
152,a,a,W,130940,1397,-14,-2,a,1,0,1,0,0,0,0,0,2000,2000,0
153,a,a,N,38450,343,26,85,a,1,0,1,0,0,0,0,0,1000,1000,0
154,b,a,N,12380,126,-56,-35,a,1,0,0,1,0,0,0,0,70000,70000,0
155,b,a,N,12150,118,-52,-36,a,1,0,1,0,0,0,0,0,3000,3000,0
156,b,a,W,265250,2852,64,84,a,2,0,1,1,0,0,0,0,23000,20000,0
157,b,a,W,162190,1702,-7,0,a,0,0,0,0,0,0,0,0,0,0,0
158,b,a,W,229070,2597,30,51,a,2,0,0,2,0,0,0,0,100000,80000,0
159,b,a,W,132470,1552,-28,-16,a,5,2,2,1,0,0,0,0,54800,50000,0
160,b,a,W,151210,1727,-18,-12,a,4,1,2,1,0,0,0,0,31800,20000,0
161,b,a,W,118120,1716,-33,-14,a,1,0,0,1,0,0,0,0,20000,20000,0
162,b,a,W,185910,2451,8,24,a,8,4,4,0,0,0,0,0,11300,4000,0
163,b,a,W,197590,2804,20,44,a,8,8,0,0,0,0,0,0,4700,800,0
164,a,a,N,26780,345,18,94,a,0,0,0,0,0,0,0,0,0,0,0
165,a,a,N,9670,186,-59,-7,a,0,0,0,0,0,0,0,0,0,0,0
166,a,a,N,9980,170,-54,-13,a,1,0,1,0,0,0,0,0,1000,1000,0
167,a,a,N,8760,133,-59,-33,a,1,1,0,0,0,0,0,0,600,600,0
168,a,a,N,7370,110,-63,-46,a,0,0,0,0,0,0,0,0,0,0,0
169,a,a,N,4580,91,-72,-50,a,1,0,1,0,0,0,0,0,1000,1000,0
170,a,a,N,4610,78,-68,-55,a,0,0,0,0,0,0,0,0,0,0,0
171,b,a,W,68920,1004,-59,-51,a,3,0,2,1,0,0,0,0,66000,60000,0
172,b,a,W,134870,2096,-17,4,a,4,2,2,0,0,0,0,0,5100,3000,0
173,b,a,W,71650,1173,-53,-40,a,1,0,1,0,0,0,0,0,7000,7000,0
174,a,a,W,159910,2345,12,23,a,3,1,2,0,0,0,0,0,4400,3000,0
175,a,a,W,172530,2873,18,44,a,3,2,1,0,0,0,0,0,2300,1000,0
176,a,a,W,93120,1238,-32,-38,a,1,0,1,0,0,0,0,0,2000,2000,0
177,a,a,W,27830,190,-79,-90,a,4,0,4,0,0,0,0,0,19000,8000,0
178,a,a,W,44320,269,-64,-85,a,2,0,2,0,0,0,0,0,3000,2000,0
179,a,a,W,26830,192,-77,-88,a,1,1,0,0,0,0,0,0,600,600,0
180,a,a,W,29240,217,-71,-85,a,2,0,2,0,0,0,0,0,8000,5000,0
181,a,a,W,47740,276,-42,-76,a,4,1,3,0,0,0,0,0,7800,3000,0
182,a,a,W,36520,209,-55,-81,a,3,2,1,0,0,0,0,0,9800,9000,0
183,a,a,W,28360,181,-60,-80,a,2,1,1,0,0,0,0,0,3800,3000,0
184,a,a,W,29990,203,-55,-75,a,3,1,2,0,0,0,0,0,9400,6000,0
185,a,a,W,21060,106,-61,-82,a,0,0,0,0,0,0,0,0,0,0,0
186,a,a,W,18240,87,-53,-72,a,2,1,1,0,0,0,0,0,2500,2000,0
187,a,a,W,33660,248,9,28,a,4,2,2,0,0,0,0,0,11100,8000,0
188,a,a,W,21670,132,-31,-34,a,3,2,1,0,0,0,0,0,3400,2000,0
189,a,a,N,5990,53,-42,-64,a,0,0,0,0,0,0,0,0,0,0,0
190,a,a,N,6430,30,-33,-79,a,1,1,0,0,0,0,0,0,300,300,0
191,a,a,N,3020,19,-66,-85,a,1,0,1,0,0,0,0,0,2000,2000,0
192,a,a,W,23400,140,-20,-24,a,3,3,0,0,0,0,0,0,2000,800,0
193,a,a,W,45990,349,59,94,a,3,2,1,0,0,0,0,0,4200,3000,0
194,a,a,W,19570,153,-36,-21,a,1,1,0,0,0,0,0,0,700,700,0
195,a,a,W,32550,167,17,-8,a,9,5,4,0,0,0,0,0,13200,6000,0
196,a,b,W,53860,346,96,96,a,5,1,4,0,0,0,0,0,13700,9000,0
197,a,b,W,37810,238,26,23,a,6,5,1,0,0,0,0,0,5400,2000,0
198,a,b,W,10130,133,-67,-32,a,1,0,1,0,0,0,0,0,2000,2000,0
199,a,b,W,57860,383,95,92,a,2,1,1,0,0,0,0,0,4700,4000,0
200,a,b,W,42470,326,26,42,a,2,2,0,0,0,0,0,0,1200,700,0
201,a,b,W,42840,248,24,5,a,3,0,3,0,0,0,0,0,4000,2000,0
202,a,b,N,13060,81,96,-18,a,0,0,0,0,0,0,0,0,0,0,0
203,a,b,W,15930,177,-57,-29,a,2,1,1,0,0,0,0,0,2600,2000,0
204,a,b,W,60340,495,68,96,a,5,3,2,0,0,0,0,0,12500,8000,0
205,a,b,W,39690,416,6,56,a,2,1,1,0,0,0,0,0,1700,1000,0
206,a,b,W,32930,271,-16,-7,a,1,0,1,0,0,0,0,0,3000,3000,0
207,a,a,W,18210,150,-54,-51,a,3,1,2,0,0,0,0,0,7700,5000,0
208,a,a,W,24790,236,-31,-17,a,1,1,0,0,0,0,0,0,600,600,0
209,a,a,W,43490,352,26,24,a,0,0,0,0,0,0,0,0,0,0,0
210,a,a,N,10850,131,55,49,a,0,0,0,0,0,0,0,0,0,0,0
211,a,a,N,3770,50,-47,-40,a,0,0,0,0,0,0,0,0,0,0,0
212,a,a,N,3650,41,-44,-46,a,1,0,1,0,0,0,0,0,4000,4000,0
213,a,a,W,8380,47,-78,-85,a,1,0,1,0,0,0,0,0,6000,6000,0
214,a,b,W,61110,439,86,62,a,4,4,0,0,0,0,0,0,1600,600,0
215,a,b,W,39880,342,15,21,a,3,1,2,0,0,0,0,0,2800,1000,0
216,a,b,W,19170,158,-44,-46,a,2,1,1,0,0,0,0,0,4500,4000,0
217,a,a,W,17750,151,-49,-48,a,1,1,0,0,0,0,0,0,400,400,0
218,a,a,W,41740,331,37,29,a,2,2,0,0,0,0,0,0,1100,700,0
219,a,a,W,35800,341,16,38,a,0,0,0,0,0,0,0,0,0,0,0
220,a,b,W,48820,446,57,75,b,5,4,1,0,0,0,0,0,3900,2000,0
221,a,b,W,29470,347,-14,22,b,0,0,0,0,0,0,0,0,0,0,0
222,a,b,W,23050,202,-33,-32,b,4,2,2,0,0,0,0,0,5100,3000,0
223,a,b,W,37820,347,16,24,a,3,2,1,0,0,0,0,0,4000,3000,0
224,a,b,W,33800,316,-5,2,a,2,1,1,0,0,0,0,0,3400,3000,0
225,a,a,W,13830,145,-58,-51,a,3,2,1,0,0,0,0,0,3900,3000,0
226,a,a,W,46170,404,53,45,a,1,1,0,0,0,0,0,0,700,700,0
227,a,a,W,35510,313,8,3,a,1,1,0,0,0,0,0,0,500,500,0
228,a,a,W,31040,322,-10,1,a,5,2,3,0,0,0,0,0,9000,4000,0
229,a,a,W,47690,518,42,63,a,6,4,2,0,0,0,0,0,7400,3000,0
230,a,a,W,28130,347,-19,3,a,3,2,1,0,0,0,0,0,3100,2000,0
231,a,a,N,4760,94,-23,37,a,0,0,0,0,0,0,0,0,0,0,0
232,a,a,N,3860,77,-38,12,a,0,0,0,0,0,0,0,0,0,0,0
233,a,a,N,2210,34,-64,-51,a,2,1,1,0,0,0,0,0,3400,3000,0
234,a,a,W,12610,157,-61,-52,a,1,0,1,0,0,0,0,0,2000,2000,0
235,a,a,W,39390,460,27,50,a,6,5,1,0,0,0,0,0,4800,2000,0
236,a,a,W,19630,295,-40,-11,a,3,2,1,0,0,0,0,0,8300,7000,0
237,a,a,W,26130,260,-15,-21,a,6,3,3,0,0,0,0,0,7700,3000,0
238,a,a,W,19420,279,-35,-13,a,4,3,1,0,0,0,0,0,2800,1000,0
239,b,b,W,26290,104,-6,-67,a,5,2,2,1,0,0,0,0,25300,20000,0
240,b,b,W,18580,121,-31,-59,a,2,2,0,0,0,0,0,0,1200,800,0
241,b,b,W,9130,68,-64,-75,a,3,2,1,0,0,0,0,0,2000,1000,0
242,a,b,N,6340,18,10,-70,a,2,1,1,0,0,0,0,0,9300,9000,0
243,a,b,N,1200,15,-79,-74,a,0,0,0,0,0,0,0,0,0,0,0
244,a,b,N,1020,10,-81,-82,a,0,0,0,0,0,0,0,0,0,0,0
245,a,a,N,2360,16,-54,-71,a,0,0,0,0,0,0,0,0,0,0,0
246,a,a,N,1070,17,-73,-65,a,0,0,0,0,0,0,0,0,0,0,0
247,a,a,N,500,7,-83,-82,a,0,0,0,0,0,0,0,0,0,0,0
248,a,a,N,340,6,-87,-85,a,0,0,0,0,0,0,0,0,0,0,0
249,a,a,N,100,4,-96,-90,a,0,0,0,0,0,0,0,0,0,0,0
250,a,a,N,720,2,-62,-95,a,0,0,0,0,0,0,0,0,0,0,0
251,a,a,N,950,4,-40,-90,a,0,0,0,0,0,0,0,0,0,0,0
252,a,a,N,430,3,-71,-92,a,0,0,0,0,0,0,0,0,0,0,0
253,a,a,N,290,3,-67,-92,a,1,0,1,0,0,0,0,0,3000,3000,0
254,a,a,N,3330,37,-42,-39,a,2,2,0,0,0,0,0,0,1200,900,0
255,a,a,W,11740,46,-90,-96,a,1,0,1,0,0,0,0,0,4000,4000,0
256,a,a,N,850,6,-85,-90,a,0,0,0,0,0,0,0,0,0,0,0
257,a,a,W,5240,18,-96,-96,a,1,1,0,0,0,0,0,0,600,600,0
258,a,a,W,17910,86,-85,-79,a,4,0,4,0,0,0,0,0,12000,6000,0
259,a,a,W,145440,358,-3,-28,a,0,0,0,0,0,0,0,0,0,0,0
260,a,b,N,67480,141,-10,-44,a,3,2,1,0,0,0,0,0,2800,2000,0
261,a,b,W,239660,501,60,3,a,1,0,1,0,0,0,0,0,8000,8000,0
262,a,b,W,229690,485,45,0,a,4,3,1,0,0,0,0,0,2500,1000,0
263,a,b,N,49410,74,-33,-69,a,2,0,2,0,0,0,0,0,6000,3000,0
264,a,b,W,197620,406,19,-16,a,0,0,0,0,0,0,0,0,0,0,0
265,a,b,N,68200,137,-5,-38,a,0,0,0,0,0,0,0,0,0,0,0
266,a,b,N,53380,108,-13,-8,a,3,2,1,0,0,0,0,0,1700,1000,0
267,a,b,W,179710,274,5,-42,a,4,3,1,0,0,0,0,0,3000,2000,0
268,a,b,N,29650,93,-51,-20,a,0,0,0,0,0,0,0,0,0,0,0
269,a,b,W,111510,169,-36,-63,a,2,0,2,0,0,0,0,0,5000,3000,0
270,a,a,N,28020,51,12,-14,a,0,0,0,0,0,0,0,0,0,0,0
271,a,b,N,44790,57,74,-3,a,0,0,0,0,0,0,0,0,0,0,0
272,a,b,W,68130,162,-9,-9,a,2,2,0,0,0,0,0,0,1000,600,0
273,a,b,W,107250,168,43,-8,a,0,0,0,0,0,0,0,0,0,0,0
274,a,b,N,72460,150,166,180,b,1,0,1,0,0,0,0,0,1000,1000,0
275,a,b,N,58410,113,84,88,a,0,0,0,0,0,0,0,0,0,0,0
276,b,b,N,48590,134,28,84,b,1,0,0,1,0,0,0,0,20000,20000,0
277,b,b,N,19370,63,-49,-20,b,0,0,0,0,0,0,0,0,0,0,0
278,b,b,N,14770,48,-60,-41,b,0,0,0,0,0,0,0,0,0,0,0
279,a,b,N,15050,52,-61,-38,a,0,0,0,0,0,0,0,0,0,0,0
280,a,b,N,18800,67,-51,-23,a,0,0,0,0,0,0,0,0,0,0,0
281,a,a,N,29500,92,-21,6,a,1,1,0,0,0,0,0,0,300,300,0
282,a,a,N,12950,41,-65,-55,a,0,0,0,0,0,0,0,0,0,0,0
283,a,a,N,20730,48,-39,-46,a,1,1,0,0,0,0,0,0,400,400,0
284,a,a,N,41340,89,42,12,a,0,0,0,0,0,0,0,0,0,0,0
285,a,a,N,18410,30,-33,-61,a,0,0,0,0,0,0,0,0,0,0,0
286,a,a,N,9490,26,-60,-61,a,0,0,0,0,0,0,0,0,0,0,0
287,a,a,N,6370,34,-68,-39,a,0,0,0,0,0,0,0,0,0,0,0
288,a,a,N,9430,44,-50,-17,a,0,0,0,0,0,0,0,0,0,0,0
289,a,a,N,30130,82,65,57,a,3,3,0,0,0,0,0,0,500,200,0
290,a,a,N,12880,62,-35,12,a,0,0,0,0,0,0,0,0,0,0,0
291,a,a,W,17220,529,-50,-41,a,0,0,0,0,0,0,0,0,0,0,0
292,a,a,W,25010,524,-27,-41,a,0,0,0,0,0,0,0,0,0,0,0
293,a,a,W,17540,252,-23,-48,a,0,0,0,0,0,0,0,0,0,0,0
294,a,a,W,15170,414,-56,-54,a,0,0,0,0,0,0,0,0,0,0,0
295,a,a,W,103380,2701,193,187,a,1,0,0,0,1,0,0,0,200000,200000,0
296,a,a,W,38230,835,61,63,a,0,0,0,0,0,0,0,0,0,0,0
297,a,a,W,43380,693,83,36,a,0,0,0,0,0,0,0,0,0,0,0
298,a,a,W,26450,529,12,3,a,0,0,0,0,0,0,0,0,0,0,0
299,a,a,W,27450,512,16,0,a,1,1,0,0,0,0,0,0,300,300,0
300,a,a,W,25750,494,9,-3,a,0,0,0,0,0,0,0,0,0,0,0
301,a,a,W,23310,242,-2,-53,a,1,1,0,0,0,0,0,0,700,700,0
302,b,a,W,26170,388,23,-19,a,0,0,0,0,0,0,0,0,0,0,0
303,b,a,W,42450,429,99,-10,a,0,0,0,0,0,0,0,0,0,0,0
304,b,a,W,63560,317,198,-33,a,0,0,0,0,0,0,0,0,0,0,0
305,b,a,W,58720,513,175,8,a,0,0,0,0,0,0,0,0,0,0,0
306,b,a,W,31010,512,45,7,a,0,0,0,0,0,0,0,0,0,0,0
307,b,a,W,31450,286,47,-40,a,0,0,0,0,0,0,0,0,0,0,0
308,b,a,W,31310,504,47,6,a,0,0,0,0,0,0,0,0,0,0,0
309,b,a,W,27020,294,334,-5,b,0,0,0,0,0,0,0,0,0,0,0
310,a,a,N,10160,278,-5,15,a,0,0,0,0,0,0,0,0,0,0,0
311,a,a,N,18820,299,75,24,a,1,0,1,0,0,0,0,0,4000,4000,0
312,a,a,N,13780,289,28,20,a,0,0,0,0,0,0,0,0,0,0,0
313,a,a,W,14080,172,-38,-65,a,0,0,0,0,0,0,0,0,0,0,0
314,a,a,W,11690,235,-48,-52,a,0,0,0,0,0,0,0,0,0,0,0
315,a,a,W,33500,231,48,-53,a,0,0,0,0,0,0,0,0,0,0,0
316,a,a,W,58190,419,158,-14,a,0,0,0,0,0,0,0,0,0,0,0
317,a,a,W,31390,362,39,-26,a,0,0,0,0,0,0,0,0,0,0,0
